mhat,Sup_MSE,L2_MSE,Sup_RMSE,L2_RMSE,Solve_Time_sec
1,0.003611045986610524,0.0018160169665992828,0.06009197938669123,0.04261475057534988,0.5966978073120117
2,0.0024058312589635583,0.001151018177864138,0.049049273786301445,0.03392665880784811,0.61897873878479
4,0.001483965487546546,0.0006772945113386418,0.03852227261658567,0.026024882542264084,0.7506387233734131
8,0.0007819895462031103,0.00037605459380343894,0.027964075994087668,0.01939212710878925,1.2395188808441162
16,0.00042631074424662456,0.00020234827938654177,0.02064729387223964,0.014224917552890834,2.7002010345458984
24,0.0002915923734728992,0.00013821124245810457,0.01707607605607621,0.011756327762447956,4.422816038131714
32,0.00023200231077580375,0.00010590886359923672,0.015231622066470916,0.01029120321435918,6.844247102737427
40,0.00017985694404209026,8.550902097559651e-05,0.01341107542451724,0.009247108790081175,9.143171072006226
