mhat,Sup_t_MSE,L2_MSE,Sup_t_RMSE,L2_RMSE,Terminal_MSE,Solve_Time_sec
1,0.003026755528230229,0.0015148932057640146,0.055015957032757586,0.038921629022485874,0.003026755528230229,0.654
2,0.0019643481669297806,0.0009708573705611539,0.04432096757664233,0.031158584219459554,0.0019643481669297806,0.464
4,0.0011841405733599378,0.00057066347156764,0.03441134367268936,0.02388856361457591,0.0011841405733599378,0.741
8,0.0006327338396125777,0.000315784822007645,0.02515420123185345,0.017770335450059602,0.0006127487172125868,0.666
16,0.0003464085479726404,0.00016862741693764407,0.01861205383542183,0.012985661975334337,0.0003303583831452562,1.857
24,0.00022437889696882944,0.00011428683718914377,0.01497928225813338,0.010690502195366866,0.0002214953559282094,2.762
32,0.000174056905574868,8.690149482961598e-05,0.013193062782192315,0.009322097126162974,0.000174056905574868,4.447
40,0.00013937125250584266,6.965303405415066e-05,0.011805560236847833,0.008345839325924665,0.00013548907710033822,7.587
