,alpha_0.6,alpha_0.7,alpha_0.8,alpha_0.9,alpha_1.0
2,0.00019104,0.00017526,0.00016294,0.00015361,0.00014665
4,0.00020364,0.00018535,0.00017116,0.00016032,0.00015207
8,0.00021159,0.00018963,0.00017342,0.00016155,0.00015274
16,0.00021838,0.00019428,0.0001754,0.00016262,0.00015331
24,0.00022088,0.00019397,0.00017554,0.00016285,0.00015346
32,0.00022,0.00019457,0.0001761,0.00016302,0.00015356
