mhat,Sup_MSE,L2_MSE,Sup_RMSE,L2_RMSE,Solve_Time_sec
1,0.004732101722305183,0.0021555216583445625,0.0687902734571188,0.046427595870824095,0.08974266052246094
2,0.0030845688794356265,0.001366653274034805,0.055538895194589766,0.036968273884978795,0.12214994430541992
4,0.0018858534785996539,0.0008011919430016851,0.04342641452618042,0.02830533417929711,0.16019296646118164
8,0.0009898419916749398,0.0004424155636096684,0.03146175442779598,0.021033676892299843,0.27534985542297363
16,0.0005332706405847959,0.00023598629417648023,0.023092653389872632,0.015361845402700818,0.6092290878295898
24,0.000357747640790952,0.00015995062616674138,0.01891421795345903,0.012647158817961503,1.0294189453125
32,0.00028107619011329317,0.00012157078730354167,0.016765327020767988,0.011025914352267647,1.5042448043823242
40,0.0002194575388603559,9.742754918581064e-05,0.014814099326667008,0.009870539457689769,2.174488067626953
